t(s)	ps01	ps02	ps03	ps04	ps05	ps06	ps07	ps08	ps09	ps10	ps11	ps12	ps13	ps14	ps15	ps16	ps17	ps18	ps19	ps20	ps21	
0.139403	-1.18459e-005	-5.37532e-005	-5.7007e-005	-1.26765e-005	-0.000191267	-2.97704e-005	-9.1412e-005	7.02935e-007	1.04629e-005	-1.30656e-005	2.76287e-005	6.59335e-006	-1.28656e-005	1.93778e-006	-4.6817e-005	-6.35509e-006	-2.06615e-005	-0.000219017	-0.000169205	-0.000115199	-8.51681e-005	
0.140488	-2.69356e-005	-5.77057e-005	6.46542e-006	8.65816e-005	-4.80665e-005	-3.08639e-005	-7.95809e-005	6.2597e-005	2.22377e-005	-2.68233e-006	-1.40418e-005	7.15532e-005	7.53173e-005	7.70608e-005	6.17372e-006	7.95367e-005	4.73972e-005	-0.000104576	-7.67659e-005	-8.33496e-005	-2.40081e-005	
0.141508	4.55986e-005	-0.00013129	-2.56112e-005	-0.000100191	-9.66317e-005	-1.64376e-005	4.36787e-005	-1.69413e-005	1.34078e-005	8.23976e-005	2.75098e-005	-3.13498e-005	5.5833e-006	6.53087e-005	-2.75793e-005	-5.45739e-005	-8.85519e-005	-9.63378e-005	-6.96202e-005	-6.99402e-005	-9.18335e-005	
0.142593	3.11478e-005	-9.53301e-005	1.20352e-005	0.000239624	7.25792e-005	7.44427e-006	2.4423e-005	1.03827e-005	4.16387e-006	3.82302e-005	1.47118e-006	5.62464e-005	3.8929e-005	4.15129e-005	8.52095e-005	0.000149045	0.000173466	-3.30537e-005	7.49339e-006	-2.75317e-005	-8.20827e-005	
0.143614	9.32869e-005	-4.81375e-005	8.27996e-005	-4.70637e-005	-0.000123758	1.46092e-005	-5.41308e-005	5.687e-005	2.47799e-005	3.43784e-005	6.93578e-005	8.25922e-005	0.000123132	0.000155537	0.00010611	3.85762e-005	8.39431e-007	-0.000154453	-8.03422e-005	-1.69884e-005	-3.99587e-005	
0.144698	0.000104998	7.14105e-006	9.61423e-005	0.000139564	0.000175058	7.88698e-005	5.2824e-005	8.84067e-005	0.000122657	9.53353e-005	6.21273e-005	0.000163152	0.000189935	0.000157482	0.000136246	0.000132584	0.000114695	3.63283e-005	7.16478e-005	5.47519e-005	-3.13185e-005	
0.145719	2.20132e-006	-0.000115442	-1.67776e-005	-0.000116558	-0.000202552	-2.82737e-005	-3.72722e-005	-5.80931e-008	-3.4496e-005	3.36515e-005	1.45421e-005	3.08463e-005	6.90479e-005	9.99737e-005	-4.76213e-005	-3.61438e-005	-8.31784e-005	-0.000167402	-0.000127209	-6.17826e-005	-8.66573e-005	
0.146804	9.1703e-006	-8.97102e-005	-2.83584e-005	1.88009e-005	-1.31509e-005	6.91697e-005	-5.77976e-005	0.00010472	1.31697e-005	3.38225e-005	-1.34613e-005	-2.2999e-006	7.73989e-006	4.70707e-007	-2.27227e-005	1.62156e-005	1.45134e-005	-6.89283e-005	-9.92168e-006	8.73138e-006	-3.95621e-006	
0.147825	2.41566e-005	-7.52398e-005	1.87362e-005	5.9809e-005	-4.30553e-005	3.76363e-005	-8.137e-006	5.8649e-005	2.31877e-005	3.15765e-005	1.07466e-005	2.28346e-005	1.29696e-005	4.90914e-005	7.10013e-005	9.34676e-005	6.24049e-005	-7.00556e-005	-6.6078e-005	-6.08402e-005	-2.93183e-005	
0.148909	-6.55894e-006	-0.000106705	-5.54724e-005	3.3911e-005	-8.80279e-005	-3.93563e-005	7.07282e-005	2.84008e-006	4.1732e-005	5.07583e-005	-2.57487e-005	3.97318e-005	4.66701e-005	4.29429e-005	-5.02021e-005	-6.43027e-006	-1.08122e-005	-0.000130186	-9.48366e-005	-6.28085e-005	-7.07418e-005	
0.14993	5.6093e-006	-0.000127955	-6.39289e-005	-0.000171741	-0.000215053	-0.000103199	0.0001098	4.48983e-005	7.79812e-005	0.000118566	-2.27793e-005	5.90724e-006	6.10653e-005	7.38355e-005	-0.000100769	-9.95251e-005	-0.00016699	-0.00023562	-0.000157899	-0.000156713	-0.000113562	
0.150951	1.87956e-005	-0.000104506	-2.94482e-005	-0.000254602	-0.000393844	-0.000122061	2.3973e-005	8.324e-005	0.000105232	5.06405e-005	-2.18504e-005	9.33211e-005	0.000128002	0.000120157	-7.69991e-005	-0.000125242	-0.000184573	-0.000324258	-0.000240822	-0.000168073	-4.40744e-005	
0.152035	1.38134e-005	-6.75736e-005	2.89555e-005	0.000159623	0.000108815	4.93056e-006	7.36135e-006	3.00355e-005	1.65371e-005	4.8766e-005	-7.79522e-006	5.69458e-005	8.14039e-005	8.92765e-005	4.89553e-005	9.55959e-005	0.000121537	1.87805e-005	3.2572e-005	1.9286e-005	-8.10385e-005	
0.153056	5.99775e-006	-8.33576e-005	-1.24485e-005	-5.37674e-005	-0.000193165	-4.62304e-005	3.8625e-005	-1.13028e-005	1.4186e-005	6.18216e-005	-1.51105e-005	4.99871e-005	6.34307e-005	9.50925e-005	7.82871e-006	1.58486e-005	-4.84112e-005	-0.000204278	-0.000174655	-0.000116046	-5.74032e-005	
0.154141	-4.64178e-005	-0.000234256	-3.91733e-005	-0.000117158	-0.000228601	-0.000104821	-5.46108e-005	-2.59056e-005	-4.09426e-005	1.8474e-006	-7.58072e-005	-4.84912e-005	5.0735e-006	5.64766e-005	-1.8462e-005	-8.73549e-006	-7.92997e-005	-0.000188827	-0.000155955	-0.000111927	-9.84333e-005	
0.155162	-8.69638e-006	-0.000141518	2.68282e-005	-1.00761e-005	-0.000130981	2.11156e-005	-1.87259e-005	8.15471e-006	-2.19895e-005	3.70211e-005	-4.75034e-005	6.55165e-005	6.37348e-005	0.000112749	1.83275e-005	4.51532e-005	-1.56134e-005	-0.00014109	-0.000102277	-6.53172e-005	-4.50218e-005	
0.156246	-6.41482e-006	-8.21396e-005	6.9119e-005	3.81099e-005	-6.7189e-005	1.95864e-006	1.01019e-005	2.64875e-005	8.99356e-006	1.97024e-005	-4.13736e-005	4.06866e-005	8.55795e-005	0.000152229	6.72376e-005	8.95564e-005	7.62149e-005	-0.000122695	-6.83518e-005	-2.59576e-005	-3.52003e-005	
0.157267	-4.54467e-006	-6.76984e-005	-6.02599e-005	-0.000171592	-0.000305863	-8.60872e-005	2.66113e-005	4.58472e-005	3.28663e-005	4.67804e-005	-1.37754e-005	8.76884e-005	4.31716e-005	3.00735e-005	-7.16145e-005	-4.72379e-005	-0.000101696	-0.000308649	-0.000196175	-0.000168155	-0.000110186	
0.158352	2.97742e-005	-8.39359e-005	-5.24879e-005	-0.000206492	-0.000240089	-2.97361e-005	3.15948e-005	4.00976e-005	9.21051e-005	7.84003e-005	1.89818e-005	1.70169e-005	-3.66528e-006	3.18462e-005	-5.13754e-005	-5.18034e-005	-9.92281e-005	-0.000248748	-0.000163327	-5.71598e-005	-7.42868e-005	
0.159372	6.59889e-005	-0.000158793	-0.0001172	-0.000188794	-0.000335342	-0.000120793	-9.46146e-006	-3.90862e-006	3.37572e-005	6.58158e-005	-2.31022e-006	-5.32875e-006	4.49953e-006	2.83765e-006	-0.000104689	-4.29861e-005	-0.000109894	-0.000282906	-0.000216556	-0.000176169	-0.000111338	
0.160457	-2.50093e-005	-0.000143911	3.2144e-005	-7.21531e-005	-0.000238706	2.35857e-006	-6.06612e-005	2.59939e-005	-1.57343e-005	3.69451e-006	-2.78208e-005	3.85804e-005	5.16926e-005	0.000106032	6.20037e-005	-6.57631e-006	-7.7201e-005	-0.000183422	-0.000111559	-4.62506e-005	-5.38334e-005	
0.161478	3.23947e-005	-7.66208e-005	-2.7246e-005	2.2891e-005	-0.000145336	-4.72426e-005	-2.99291e-005	5.19706e-005	1.60894e-006	4.2142e-005	2.42796e-006	6.24957e-005	8.04911e-005	0.000100006	7.85141e-006	4.62779e-005	-1.56629e-005	-0.000137646	-9.47941e-005	-8.50819e-005	-4.4396e-005	
0.162562	5.11884e-005	-9.72293e-005	3.25006e-005	0.000188863	3.8362e-005	7.06082e-005	5.29188e-005	0.000172527	0.000129875	9.09518e-005	3.42465e-005	4.83569e-005	7.67938e-005	0.000118074	5.73008e-005	0.000145774	0.000121623	-4.52227e-005	5.19122e-006	2.40791e-005	2.77501e-005	
0.163583	-1.75997e-005	-0.000100759	-9.59279e-006	-0.000258	-0.000469059	-4.82836e-005	-3.67472e-006	7.44141e-005	6.2645e-005	3.98423e-005	-3.5888e-005	8.99688e-005	0.000136308	0.000114163	-4.60625e-005	-7.81787e-005	-0.000171584	-0.000338213	-0.000212525	-0.000114961	-3.02741e-005	
0.164604	1.74895e-005	-0.000157771	-9.63463e-006	-0.000249318	-0.000298587	-2.1413e-005	1.7991e-005	9.11955e-005	8.18843e-005	7.77061e-005	-2.4003e-005	2.67817e-005	1.95544e-005	7.71242e-005	-3.38282e-005	-3.29037e-005	-0.000158373	-0.00022555	-0.000140272	-7.00968e-005	-4.01156e-005	
0.165689	1.30545e-005	-8.56708e-005	-1.15344e-005	0.000106358	4.96142e-006	1.44923e-005	-2.52126e-005	1.61764e-005	3.91191e-006	7.42853e-005	-1.73452e-005	-5.57476e-006	-3.99115e-005	4.52242e-005	4.04103e-005	0.000122101	8.35438e-005	-5.93966e-005	-5.63374e-005	-2.6308e-005	-4.29749e-005	
0.166709	-1.27042e-005	-0.00017833	2.53451e-005	6.775e-005	2.07906e-005	2.01779e-005	6.04554e-005	3.82381e-005	6.32494e-005	5.50628e-005	-3.78503e-005	-1.15716e-005	5.25763e-005	8.72639e-005	7.18717e-005	5.18262e-005	4.98007e-005	-1.94489e-005	-1.20346e-005	2.59605e-005	-4.02643e-005	
0.167794	-2.52279e-005	-0.000119829	2.9161e-005	0.00025728	0.000154421	6.77905e-006	6.30237e-006	1.99462e-006	3.37304e-006	1.92546e-005	-4.6569e-005	7.67435e-005	9.31833e-005	0.000100087	5.61098e-005	0.000149534	0.000157102	4.15542e-005	1.73577e-005	-2.8222e-005	-5.86437e-005	
0.168815	2.8026e-006	-0.000120001	5.47034e-006	-4.16485e-006	-0.000248898	-6.23466e-005	5.4204e-005	1.83286e-005	5.05389e-005	6.85798e-005	2.36904e-006	1.61337e-005	5.79155e-005	0.000129905	1.33384e-005	7.6477e-005	5.78381e-005	-0.000198503	-0.000118908	-0.000109349	-7.73067e-005	
0.169899	3.44785e-005	-0.000103281	5.06796e-005	0.000391948	9.38645e-005	3.21642e-006	-2.88158e-005	9.75646e-007	-6.34425e-006	6.97667e-005	1.40552e-005	0.000100662	0.000122113	0.000152301	6.964e-005	0.00015799	0.000244007	-3.61735e-006	3.41132e-005	1.08862e-005	-7.32737e-005	
0.17092	6.86698e-005	-8.16682e-005	-0.000109812	-0.000340237	-0.000474498	-0.000121127	-1.6269e-005	4.93856e-005	6.26017e-005	7.05531e-005	5.44612e-005	1.43555e-005	4.44505e-005	9.7418e-005	-0.000104251	-0.000148666	-0.000237286	-0.000370053	-0.000235708	-0.000179248	-0.000124688	
0.172005	-7.8045e-006	-0.000157021	-1.50746e-005	-4.75579e-006	-9.30844e-005	-1.51609e-005	-2.81665e-006	3.50249e-005	1.89852e-005	3.13789e-005	-5.31289e-005	1.95497e-005	8.63292e-005	0.000133871	-5.40127e-005	8.01484e-006	-4.21997e-005	-0.000146816	-7.37935e-005	-3.16937e-005	-4.25419e-005	
